name,feature
沈爺炸蛋蔥油餅,Featured
沈爺炸蛋蔥油餅,滿$100打9折
艋舺雞排 (台北饒河店),Featured
艋舺雞排 (台北饒河店),指定餐點5折
肯德基KFC炸雞漢堡店 (台北南京東二店),Featured
肯德基KFC炸雞漢堡店 (台北南京東二店),輸入芒著吃肯德基｜滿額享79折
COMEBUY (台北永吉店),Featured
山山酥姬,Featured
山山酥姬,滿$200打9折 
Pizza Hut必勝客 (台北八德店),Featured
Pizza Hut必勝客 (台北八德店),輸入必勝客80｜滿額折80
歐買尬日式海鮮串燒 (台北市民本店),Featured
胖老爹美式炸雞 (松山五分埔店),Featured
胖老爹美式炸雞 (松山五分埔店),15% off min $130
焗烤薯薯,Featured
焗烤薯薯,指定餐點5折
馬場18精緻熱炒,Featured
ping tou lu tou sha ( sung shan jao ho tien ),滿$150打8折
E Chyuan Shih Tang,滿$100折$10
E Chyuan Shih Tang,Local hero shops
Jin He Sia Re Chao,滿$100折$10
Jin He Sia Re Chao,New
芝香雞肉飯,滿$250折$40
芝香雞肉飯,Local hero shops
焦糖楓串燒漢方無烟撒粉 (台北永吉店),Local hero shops
Popcorn Chicken King (Taipei Tonghua Store),Local hero shops
十全藥膳排骨 (大安通化店),指定餐點5折
十全藥膳排骨 (大安通化店),Local hero shops
216粉圓大王,Local hero shops
滿哥甜品坊,Local hero shops
東區粉圓,Local hero shops
紅花麻辣鹹水雞,Local hero shops
興安四海豆漿 (台北店),Local hero shops
京星港式飲茶一店,Local hero shops
通化街米粉湯50年老店 (胡記復興旗艦店),Local hero shops
玉欣珍傳統美食坊,Local hero shops
MeatLove橡木炭火韓國烤肉 (台北信義店),Local hero shops
施老板麻辣臭豆腐,滿$300打85折
施老板麻辣臭豆腐,Local hero shops
常旺海鮮熱炒,Local hero shops
HOOTERS美式餐廳 (松山慶城店),滿$250折$40
HOOTERS美式餐廳 (松山慶城店),Local hero shops
泰讚了thai like tea市民總店,滿$100打95折
泰讚了thai like tea市民總店,下單送『悠活原力阿拉伯糖』乙份！
百家班 (台北基隆路店),Local hero shops
豚花韓式料理,Local hero shops
鱻聚霸生猛海鮮,Local hero shops
市民大道涮涮鍋 (松山東興店),Local hero shops
森鱻生猛活海鮮,Local hero shops
ChiaoDuo House,Local hero shops
柒串燒屋 (台北長安店),Local hero shops
東引快刀手,滿$100打95折
韓勾a韓式烤肉便當專賣店,None
麥當勞 (S6 台北光復店),無敵大麥克套餐系列優惠價
麥當勞 (S6 台北光復店),勁辣香鷄翅第二件五折
三媽臭臭鍋 (台北南京店),None
すき家 Sukiya (國父紀念館店),50% off selects
清心福全 (信義永吉店),滿$300打85折
jao ho chao fan mien,None
八方雲集 (信義忠孝店),None
職人丼深夜食堂,指定餐點5折
職人丼深夜食堂,暢享【可口可樂】魔力食光套餐
凱大雞排 (松山八德店),None
粥師傅廣東粥 (台北永吉店),None
Fun rice 放飯 (台北松信店),None
胖老爹美式炸雞 (台北吉祥店),暢享【可口可樂】魔力食光套餐
豪餉滷味,指定餐點5折
十分冰品 (光復店),滿$299折$30
深夜未歸 (台北永春店),滿$100折$10 
胡饕米粉湯55年老店(台北市府店),滿$100打9折 
欲罷不能鹹水雞 (台北忠孝旗艦店),指定餐點5折
丐幫滷味 (台北信義分舵),滿$200打9折
一碗小羊肉,指定餐點5折
wu lin cha ( tai bei yong ji branch ),None
爭鮮迴轉壽司 (忠孝店),15% off selects
不貽樣湯包 (台北延吉店),滿$300打85折 
艋舺200韋晴雯柳州螺螄粉 (萬華通化店),滿$100折$10
隨意小吃,None
沅鄉台南虱目魚店,滿$100折$10
Boom chiu - hao shih cha wu,指定餐點5折
老先覺功夫窯燒鍋 (台北光復南MiNi店),滿$150折$30
齒牛香牛肉麵,滿$250折$30
爆Q美式炸雞 (台北永吉店),滿$100打95折
爆Q美式炸雞 (台北永吉店),暢享【可口可樂】魔力食光套餐
人从众厚切牛排館 (台北敦化店),滿$100打95折
萬華莊家班麻油雞 (台北八德店),None
秧米 (台北市府店),None
滿月甜甜圈 (台北敦化店),None
石家烤肉飯,滿$300打85折
石家烤肉飯,環境友善店家
暖男炸雞,None
金賞東山鴨頭,None
金色三麥 (誠品信義店),None
潑辣涼麵,None
Yong Bo Yong Bo ( Tai Bei Sin Yi Branch ),30% off min $280
星島海南雞飯,None
口吅品麻辣臭豆腐 (台北通化店),None
口吅品麻辣臭豆腐 (台北饒河店),None
雞啃工廠脆皮雞排店 (台北通化店),滿$100折$10
麻丹辣-麻辣滷味 (台北饒河店),滿$300打9折
麻丹辣-麻辣滷味 (台北饒河店),暢享【可口可樂】魔力食光套餐
小林麵食館,None
石家割包 (通化夜市店),None
爆汁小雞,滿$100打9折
爆汁小雞,暢享【可口可樂】魔力食光套餐
大狗麵線 (台北通化店),None
水巷茶弄 (南京三民店),None
老漿家,滿$100折$10
阿宏師涼麵嘉義雞肉飯 (松山八德店),滿$300打85折 
老店頭台南意麵,None
yu tien tien yu pu hui tai tien,20% off min $180
燈籠滷味 (台北通化店),指定餐點5折
大埔平價鐵板燒 (台北長安店),None
85度C (台北京華店),25% off selects
大呼過癮 (台北通化店),滿$200打9折
開源社香雞排 (台北延吉店),None
圓環鴨肉羹,None
迷客夏 Milksha (臺北延吉店),None
B&B STEAK,30% off min $280
hou jhuang pai gu su mian,None
登豐港式麻辣,None
十全排骨 (松山饒河店),None
巷口亭古早味甜品店,None
吳哥窟蜜汁雞排,滿$150折$30
東區鹽酥雞,滿$200折$30
kan che ma ma ( hsin i yung chi branch ),None
辛潮滷肉飯 (台北市府店),None
一甲子 東區烤肉,None
吉野家 Yoshinoya (台北南二店),None
完鍋子熱炒,滿$300打9折
林家羊肉羹,滿$100打85折
瑞客來永和豆漿 (台北中坡店),None
福客鹹酥雞 (原啼款雞信義店),滿$100打95折
a feng shi lu rou zao fan ri shi bao yu tang (song shan rao he branch ),滿$300打85折 
歐林鐵板燒,None
通化粉圓冰品&一杯好茶,滿$100打9折
田木果,指定餐點5折 
lao tsa mou lo ssu fen ( tai pei sogo branch ),滿$100折$10
lao tsa mou lo ssu fen ( tai pei sogo branch ),下單送『悠活原力阿拉伯糖』乙份！
胖老爹美式炸雞 (信義吳興店),暢享【可口可樂】魔力食光套餐
享想 台灣珍藏茶 (台北民生總店),指定餐點5折
延吉街70巷鹹酥雞,滿$100打95折
醉翁熱炒,None
小華冰果室,None
冰山一角甜品屋,指定餐點5折
1001 Nights Taipei 一千零一夜 (水煙館),None
雅口天香小吃店,None
摩斯漢堡Mos Burger (光復店),20% off selects
Pasta Hut義大利麵 (台北八德店),輸入必勝客80｜滿額折80
Pasta Hut義大利麵 (台北八德店),低碳餐現省$50
Dong Chyu Ching Jhou Siao Tsai,New
阿龍師脆皮烤鴨放山雞,滿$150打8折
百洲日式料理,滿$50打9折
英倫茶事 (台北松山店),滿$100折$10
wei ying chia hsiang tan kao chi pai ( tai pei chung te branch ),None
柒息地串燒屋 (台北延吉店),滿$100折$10
台北永和豆漿大王 (台北信義店),指定餐點5折
林家德國豬腳,None
千日居,滿$100折$10
豆漿哥小吃專門店 (南港同德店),None
徐杯杯粉圓仙草,指定餐點5折
麻辣干鍋X雲饕廚房 (台北大安店),指定餐點5折
好雞匯鹹水雞 (臨江通化店),None
Ajassi韓式料理,滿$100打9折
鄉淳布丁豆花,滿$250折$30
松旺臭豆腐,None
董記熱滷,None
Burger King (Dun Nan),滿$399折$60
Burger King (Dun Nan),輸入端午吃堡堡｜重磅系列套餐7折
可不可熟成紅茶 (台北通化店),None
日船章魚小丸子 (台北饒河店),None
阿三食堂,滿$200打9折
極燒骰子牛 (台北通化店),None
30巷珍味果汁肉鬆店,None
複合式碳烤,None
道地之最燒肉飯,滿$100折$10
空杯 (內湖新明店),None
功夫肉圓,None
一品鍋燒麵,滿$300打85折
鍾記通化魷魚羹,None
雞共a鹽酥雞,None
不貽樣湯包 (台北松德店),滿$300打85折 
大元冰品 (信義莊敬店),None
Lao Mo Chu Fang ( Tai Bei Sin Yi branch ),None
麗華行知名網紅推薦美食 雞排滷肉飯,None
ji ji jha jha sian su ji jha wu jhuan mai,New
才哥甜品舖 (台北吳興店),None
鮮茶道 (台北松山高商店),None
茶霸,None
蒜翻天 (台北敦化店),指定餐點5折
于果麻麻麻辣燙,滿$100打9折
偷吃面麵食店,滿$300折$50
BANG 泰-泰式便當專門店 (台北信義店),滿$200打9折 
饒河夜市 麻湘辣麻辣滷味,滿$100折$10
大王粥舖,滿$100打95折
四味海鮮羹,None
秧米Yumeat Rice,滿$250折$30
楊婆婆八寶粥,None
饕客法式脆薄餅,None
東區大塊牛排,滿$100折$10
林記海南雞飯 (台北大安店),滿$100折$10
大腸包小腸 (松山饒河店),滿$150打8折
唐門潮雞排 (信義分舵),滿$100打95折
生蠔哥海鮮燒烤,None
邱家碳烤玉米大腸包小腸,None
一品園湯包排骨酥,滿$100打85折
鼎王麻辣鍋 (台北忠孝店),滿$699打85折
大漢草原-新疆羊肉串 (台北通化店),None
新明快炒,None
85度C (台北光復北店),25% off selects
tian yu jhuang chuan shao wu,滿$200打9折 
粥師傅廣東粥 (台北和平店),滿$150折$30
紅火食代 串燒專門店 (台北安居店),滿$200打9折 
肉飯子,20% off min $180
肉飯子,環境友善店家
90 sec pizza 九十秒窯烤披薩,滿$150折$30
金珍珠石頭碳烤糯玉米,None
日本電視冠軍剪刀式雞蛋糕,None
Ma Zih La Mong Gu Ma La Tang ( Tai Bei Sin Yi Fu De Dian ),None
山豬肉炒飯麵,None
品麟熱炒,None
永和豆漿 吳興街底,None
宣棧生魚居酒屋,滿$100打95折
tian pin lu wei fang ( tai bei ren ai dian ),滿$100打95折
貝克起司馬鈴薯 (台北饒河店),None
林記上海生煎包,None
一流清粥小菜,None
老饕廚房 (台北敦化店),滿$100打95折
圈粉砂鍋獨門腸粉,滿$100打9折
火烤魚 (台北通化店),None
火山一鍋,滿$100打85折
洪記豆漿大王 (台北長春店),None
巧手韓式蛋中蛋,指定餐點5折
炸老大雞排鹹酥雞專賣店 (台北瑞安店),滿$200打9折 
舒酮 (台北信義店),None
巨蟹女孩 雞蛋糕,滿$100折$10
繼光香香雞 (台北臨江店),None
Mr.Smile 好吃雞排 (台北復興店),指定餐點5折
新台灣G王,滿$200折$10
3733特大雞排,None
煲閣X雲饕廚房 (台北大安店),指定餐點5折
泰味炸 正宗泰式炸雞 x 小林泰國蝦(大安店),None
Big Al's Burgers,None
岡山正味羊肉,滿$300打85折
雙月食品社 (森林公園店),None
潮.炒泡麵x雲饕廚房 (台北大安店),指定餐點5折
角窩美式餐酒館,滿$100打9折
川醉湘 (台北通化店),None
台客麻辣燙 (台北南港店),滿$250折$50
瘋茶館,None
威爾森龍蝦堡,None
新海岸活蝦 (Taipei Shi-Min Store),滿$300折$20
豚總長 二郎風乾拌拉麵,None
盈家鹽酥菇,None
人从众厚切牛排 (台北復興店),滿$100打95折
tong hua yeh shih an an di gua chiou,None
he shao tan huo chuan kao,25% off min $230
he shao tan huo chuan kao,New
芭樂先生 (台北饒河店),滿$250折$40
赤滝拉麵,None
噗嚨哄海鮮餐廳,None
韓國大叔 (台北敦化店),滿$100打95折
糖閣X雲饕廚房 (台北大安店),指定餐點5折
ta tso nei lu wei,None
TEATOP 第一味 (台北通化店),15% off min $130
富士堂-日本鮮奶茶飲,滿$100折$10
馬友友印度廚房 (MIK-8) (台北忠孝店),None
樂之本味 (台北合江店),指定餐點5折
陳Q古早味黑砂糖剉冰 (通化夜市店),None
長春涼麵,None
一口金酥臭豆腐,None
chuan chuan tien te lao wang,30% off min $280
chuan chuan tien te lao wang,New
好雞匯鹹水雞(台北林森店),None
恩恩努肉飯,None
金小噹韓式烤肉便當專賣店,None
人間第一美味,None
ling hsiao mei leng chih chuan chuan,New
