name,score,comment_cnt,style
沈爺炸蛋蔥油餅,4.6,3000,Snacks
艋舺雞排 (台北饒河店),4.7,10000,Snacks
肯德基KFC炸雞漢堡店 (台北南京東二店),4.6,3000,American
COMEBUY (台北永吉店),4.8,2000,Drinks
山山酥姬,4.4,500,Snacks
Pizza Hut必勝客 (台北八德店),4.7,1000,American
歐買尬日式海鮮串燒 (台北市民本店),4.3,100,Japanese
胖老爹美式炸雞 (松山五分埔店),4.6,1000,American
焗烤薯薯,4.6,2000,Snacks
馬場18精緻熱炒,4.4,42,Taiwanese
ping tou lu tou sha ( sung shan jao ho tien ),4.8,500,Drinks
E Chyuan Shih Tang,5,1,Japanese
Jin He Sia Re Chao,2.5,16,Taiwanese
芝香雞肉飯,4.7,4000,Taiwanese
焦糖楓串燒漢方無烟撒粉 (台北永吉店),4.7,3000,Snacks
Popcorn Chicken King (Taipei Tonghua Store),4.7,15000,Snacks
十全藥膳排骨 (大安通化店),4.7,10000,Taiwanese
216粉圓大王,4.7,3000,Desserts
滿哥甜品坊,4.6,100,Desserts
東區粉圓,4.8,2000,Desserts
紅花麻辣鹹水雞,4.8,1000,Snacks
興安四海豆漿 (台北店),4.7,10000,Snacks
京星港式飲茶一店,4.6,500,Hong Kong
通化街米粉湯50年老店 (胡記復興旗艦店),4.6,15000,Taiwanese
玉欣珍傳統美食坊,4.7,15000,Taiwanese
MeatLove橡木炭火韓國烤肉 (台北信義店),4.5,1000,Korean
施老板麻辣臭豆腐,4.6,500,Snacks
常旺海鮮熱炒,4.7,81,Taiwanese
HOOTERS美式餐廳 (松山慶城店),4.5,500,American
泰讚了thai like tea市民總店,4.7,1000,Desserts
百家班 (台北基隆路店),4.7,1000,Taiwanese
豚花韓式料理,4.7,1000,Korean
鱻聚霸生猛海鮮,4.3,54,Taiwanese
市民大道涮涮鍋 (松山東興店),4.8,100,Japanese
森鱻生猛活海鮮,4.8,68,Taiwanese
ChiaoDuo House,4.6,45,American
柒串燒屋 (台北長安店),4.7,100,Japanese
東引快刀手,4.6,2000,Taiwanese
韓勾a韓式烤肉便當專賣店,4.7,3000,Korean
麥當勞 (S6 台北光復店),4.8,5000,American
三媽臭臭鍋 (台北南京店),4.8,10000,Taiwanese
すき家 Sukiya (國父紀念館店),4.7,15000,Japanese
清心福全 (信義永吉店),4.9,3000,Drinks
jao ho chao fan mien,4.6,2000,Taiwanese
八方雲集 (信義忠孝店),4.6,1000,Taiwanese
職人丼深夜食堂,4.7,5000,Japanese
凱大雞排 (松山八德店),4.4,2000,Snacks
粥師傅廣東粥 (台北永吉店),4.9,2000,Chinese
Fun rice 放飯 (台北松信店),4.6,1000,Taiwanese
胖老爹美式炸雞 (台北吉祥店),4.7,2000,American
豪餉滷味,4.8,2000,Snacks
十分冰品 (光復店),4.7,2000,Desserts
深夜未歸 (台北永春店),4.6,500,Taiwanese
胡饕米粉湯55年老店(台北市府店),4.6,3000,Taiwanese
欲罷不能鹹水雞 (台北忠孝旗艦店),4.6,5000,Snacks
丐幫滷味 (台北信義分舵),4.9,3000,Snacks
一碗小羊肉,4.7,3000,Taiwanese
wu lin cha ( tai bei yong ji branch ),4.8,100,Drinks
爭鮮迴轉壽司 (忠孝店),4.7,1000,Japanese
不貽樣湯包 (台北延吉店),4.6,4000,Chinese
艋舺200韋晴雯柳州螺螄粉 (萬華通化店),4.7,500,Chinese
隨意小吃,4.7,4000,Taiwanese
沅鄉台南虱目魚店,4.6,100,Taiwanese
Boom chiu - hao shih cha wu,4.9,100,American
老先覺功夫窯燒鍋 (台北光復南MiNi店),4.7,1000,Taiwanese
齒牛香牛肉麵,4.7,2000,Taiwanese
爆Q美式炸雞 (台北永吉店),4.7,3000,American
人从众厚切牛排館 (台北敦化店),4.8,2000,American
萬華莊家班麻油雞 (台北八德店),4.8,2000,Taiwanese
秧米 (台北市府店),4.5,500,Healthy
滿月甜甜圈 (台北敦化店),4.6,1000,Desserts
石家烤肉飯,4.7,4000,Taiwanese
暖男炸雞,4.7,100,Snacks
金賞東山鴨頭,4.6,1000,Snacks
金色三麥 (誠品信義店),4.6,100,American
潑辣涼麵,4.7,2000,Taiwanese
Yong Bo Yong Bo ( Tai Bei Sin Yi Branch ),4.8,100,Snacks
星島海南雞飯,4.7,2000,Southeast Asian
口吅品麻辣臭豆腐 (台北通化店),4.8,2000,Taiwanese
口吅品麻辣臭豆腐 (台北饒河店),4.8,1000,Taiwanese
雞啃工廠脆皮雞排店 (台北通化店),4.8,4000,Snacks
麻丹辣-麻辣滷味 (台北饒河店),4.7,4000,Snacks
小林麵食館,4.7,4000,Taiwanese
石家割包 (通化夜市店),4.7,2000,Snacks
爆汁小雞,4.8,500,American
大狗麵線 (台北通化店),4.7,5000,Snacks
水巷茶弄 (南京三民店),4.9,1000,Drinks
老漿家,4.8,100,Taiwanese
阿宏師涼麵嘉義雞肉飯 (松山八德店),4.7,100,Taiwanese
老店頭台南意麵,4.7,3000,Taiwanese
yu tien tien yu pu hui tai tien,4.5,61,Desserts
燈籠滷味 (台北通化店),4.6,3000,Snacks
大埔平價鐵板燒 (台北長安店),4.6,5000,Taiwanese
85度C (台北京華店),4.6,100,Desserts
大呼過癮 (台北通化店),4.7,100,Taiwanese
開源社香雞排 (台北延吉店),4.7,1000,Snacks
圓環鴨肉羹,4.4,100,Taiwanese
迷客夏 Milksha (臺北延吉店),4.8,500,Drinks
B&B STEAK,4.6,500,American
