name,dayOfWeek,opens_time,closes_time
市府海鮮麵疙瘩,Monday,10:30,20:00
市府海鮮麵疙瘩,Tuesday,10:30,20:00
市府海鮮麵疙瘩,Wednesday,10:30,20:00
市府海鮮麵疙瘩,Thursday,10:30,20:00
市府海鮮麵疙瘩,Friday,10:30,20:00
市府海鮮麵疙瘩,Saturday,10:30,18:00
市府海鮮麵疙瘩,Sunday,10:30,18:00
艋舺雞排 (台北饒河店),Monday,14:00,23:59
艋舺雞排 (台北饒河店),Tuesday,14:00,23:59
艋舺雞排 (台北饒河店),Wednesday,14:00,23:59
艋舺雞排 (台北饒河店),Thursday,14:00,23:59
艋舺雞排 (台北饒河店),Friday,14:00,23:59
艋舺雞排 (台北饒河店),Saturday,14:00,23:59
艋舺雞排 (台北饒河店),Sunday,14:00,23:59
艋舺雞排 (台北饒河店),Monday,00:00,02:00
艋舺雞排 (台北饒河店),Tuesday,00:00,02:00
艋舺雞排 (台北饒河店),Wednesday,00:00,02:00
艋舺雞排 (台北饒河店),Thursday,00:00,02:00
艋舺雞排 (台北饒河店),Friday,00:00,02:00
艋舺雞排 (台北饒河店),Saturday,00:00,02:00
艋舺雞排 (台北饒河店),Sunday,00:00,02:00
焗烤薯薯,Monday,00:00,02:00
焗烤薯薯,Wednesday,00:00,02:00
焗烤薯薯,Thursday,00:00,02:00
焗烤薯薯,Friday,00:00,02:00
焗烤薯薯,Saturday,00:00,02:00
焗烤薯薯,Sunday,00:00,02:00
焗烤薯薯,Tuesday,17:00,23:59
焗烤薯薯,Wednesday,17:00,23:59
焗烤薯薯,Thursday,17:00,23:59
焗烤薯薯,Friday,17:00,23:59
焗烤薯薯,Saturday,17:00,23:59
焗烤薯薯,Sunday,17:00,23:59
職人丼深夜食堂,Monday,11:00,23:59
職人丼深夜食堂,Tuesday,11:00,23:59
職人丼深夜食堂,Wednesday,11:00,23:59
職人丼深夜食堂,Thursday,11:00,23:59
職人丼深夜食堂,Friday,11:00,23:59
職人丼深夜食堂,Saturday,11:00,23:59
職人丼深夜食堂,Sunday,11:00,23:59
老王炸烤 (台北南京店),Monday,00:00,01:00
老王炸烤 (台北南京店),Tuesday,00:00,01:00
老王炸烤 (台北南京店),Wednesday,00:00,01:00
老王炸烤 (台北南京店),Thursday,00:00,01:00
老王炸烤 (台北南京店),Friday,00:00,01:00
老王炸烤 (台北南京店),Saturday,00:00,01:00
老王炸烤 (台北南京店),Sunday,00:00,01:00
老王炸烤 (台北南京店),Monday,17:30,23:59
老王炸烤 (台北南京店),Tuesday,17:30,23:59
老王炸烤 (台北南京店),Wednesday,17:30,23:59
老王炸烤 (台北南京店),Thursday,17:30,23:59
老王炸烤 (台北南京店),Friday,17:30,23:59
老王炸烤 (台北南京店),Saturday,17:30,23:59
老王炸烤 (台北南京店),Sunday,17:30,23:59
紅火食代 串燒專門店 (台北安居店),Monday,00:00,01:00
紅火食代 串燒專門店 (台北安居店),Tuesday,00:00,01:00
紅火食代 串燒專門店 (台北安居店),Wednesday,00:00,01:00
紅火食代 串燒專門店 (台北安居店),Thursday,00:00,01:00
紅火食代 串燒專門店 (台北安居店),Friday,00:00,01:00
紅火食代 串燒專門店 (台北安居店),Saturday,00:00,01:00
紅火食代 串燒專門店 (台北安居店),Sunday,00:00,01:00
紅火食代 串燒專門店 (台北安居店),Monday,18:00,23:59
紅火食代 串燒專門店 (台北安居店),Tuesday,18:00,23:59
紅火食代 串燒專門店 (台北安居店),Wednesday,18:00,23:59
紅火食代 串燒專門店 (台北安居店),Thursday,18:00,23:59
紅火食代 串燒專門店 (台北安居店),Friday,18:00,23:59
紅火食代 串燒專門店 (台北安居店),Saturday,18:00,23:59
紅火食代 串燒專門店 (台北安居店),Sunday,18:00,23:59
口吅品麻辣臭豆腐 (台北通化店),Monday,00:00,00:45
口吅品麻辣臭豆腐 (台北通化店),Tuesday,00:00,00:45
口吅品麻辣臭豆腐 (台北通化店),Wednesday,00:00,00:45
