name,url
沈爺炸蛋蔥油餅,https://www.foodpanda.com.tw//en/restaurant/y7ur/chen-ye-zha-dan-cong-you-bing
艋舺雞排 (台北饒河店),https://www.foodpanda.com.tw//en/restaurant/z4ee/meng-jia-ji-pai-tai-bei-rao-he-dian
肯德基KFC炸雞漢堡店 (台北南京東二店),https://www.foodpanda.com.tw//en/restaurant/y4rc/ken-de-ji-kfczha-ji-han-bao-dian-tai-bei-nan-jing-dong-er-dian
COMEBUY (台北永吉店),https://www.foodpanda.com.tw//en/restaurant/f8uv/comebuy-tai-bei-yong-ji-dian
山山酥姬,https://www.foodpanda.com.tw//en/restaurant/ou6r/shan-shan-su-ji
Pizza Hut必勝客 (台北八德店),https://www.foodpanda.com.tw//en/restaurant/y6sf/pizza-hutbi-sheng-ke-tai-bei-ba-de-dian
歐買尬日式海鮮串燒 (台北市民本店),https://www.foodpanda.com.tw//en/restaurant/gezh/ou-mai-ga-ri-shi-hai-xian-chuan-shao-tai-bei-shi-min-ben-dian
胖老爹美式炸雞 (松山五分埔店),https://www.foodpanda.com.tw//en/restaurant/p3tx/pang-lao-die-mei-shi-zha-ji-song-shan-wu-fen-bu-dian
焗烤薯薯,https://www.foodpanda.com.tw//en/restaurant/k4ro/ju-kao-shu-shu
馬場18精緻熱炒,https://www.foodpanda.com.tw//en/restaurant/r8jc/ma-chang-18jing-zhi-re-chao
ping tou lu tou sha ( sung shan jao ho tien ),https://www.foodpanda.com.tw//en/restaurant/f6gp/bing-dou-lu-dou-sha-song-shan-rao-he-dian
E Chyuan Shih Tang,https://www.foodpanda.com.tw//en/restaurant/wg0s/e-quan-shi-tang
Jin He Sia Re Chao,https://www.foodpanda.com.tw//en/restaurant/l6lr/jin-he-xia-re-chao
芝香雞肉飯,https://www.foodpanda.com.tw//en/restaurant/x7dj/zhi-xiang-ji-rou-fan
焦糖楓串燒漢方無烟撒粉 (台北永吉店),https://www.foodpanda.com.tw//en/restaurant/k6yh/jiao-tang-feng-chuan-shao-han-fang-wu-yan-sa-fen-tai-bei-yong-ji-dian
Popcorn Chicken King (Taipei Tonghua Store),https://www.foodpanda.com.tw//en/restaurant/x7io/tai-wan-yan-su-ji-tai-bei-tong-hua-dian
十全藥膳排骨 (大安通化店),https://www.foodpanda.com.tw//en/restaurant/a6bi/shi-quan-yao-shan-pai-gu-da-an-tong-hua-dian
216粉圓大王,https://www.foodpanda.com.tw//en/restaurant/f5qs/216fen-yuan-da-wang
滿哥甜品坊,https://www.foodpanda.com.tw//en/restaurant/dvw8/man-ge-tian-pin-fang
東區粉圓,https://www.foodpanda.com.tw//en/restaurant/f0nm/dong-qu-fen-yuan
紅花麻辣鹹水雞,https://www.foodpanda.com.tw//en/restaurant/e9dv/hong-hua-ma-la-xian-shui-ji
興安四海豆漿 (台北店),https://www.foodpanda.com.tw//en/restaurant/z0dq/xing-an-si-hai-dou-jiang-tai-bei-dian
京星港式飲茶一店,https://www.foodpanda.com.tw//en/restaurant/db5k/jing-xing-gang-shi-yin-cha-dian
通化街米粉湯50年老店 (胡記復興旗艦店),https://www.foodpanda.com.tw//en/restaurant/y3pm/tong-hua-jie-mi-fen-tang-50nian-lao-dian-hu-ji-fu-xing-qi-jian-dian
玉欣珍傳統美食坊,https://www.foodpanda.com.tw//en/restaurant/w4fi/yu-xin-zhen-chuan-tong-mei-shi-fang
MeatLove橡木炭火韓國烤肉 (台北信義店),https://www.foodpanda.com.tw//en/restaurant/x6jm/meatlovexiang-mu-tan-huo-han-guo-kao-rou-tai-bei-xin-yi-dian
施老板麻辣臭豆腐,https://www.foodpanda.com.tw//en/restaurant/n6qg/shi-lao-ban-ma-la-chou-dou-fu
常旺海鮮熱炒,https://www.foodpanda.com.tw//en/restaurant/v1km/chang-wang-hai-xian-re-chao
